"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","a-just.beta.gouv.fr/80.247.13.145","443","INFO","HTTP","",""
"pre_128cipher","a-just.beta.gouv.fr/80.247.13.145","443","INFO","No 128 cipher limit bug","",""
"SSLv2","a-just.beta.gouv.fr/80.247.13.145","443","OK","not offered","",""
"SSLv3","a-just.beta.gouv.fr/80.247.13.145","443","OK","not offered","",""
"TLS1","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_1","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"TLS1_2","a-just.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"TLS1_3","a-just.beta.gouv.fr/80.247.13.145","443","OK","offered with final","",""
"ALPN_HTTP2","a-just.beta.gouv.fr/80.247.13.145","443","OK","h2","",""
"ALPN","a-just.beta.gouv.fr/80.247.13.145","443","INFO","http/1.1","",""
"cipherlist_NULL","a-just.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","a-just.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","a-just.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_LOW","a-just.beta.gouv.fr/80.247.13.145","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not offered","",""
"cipherlist_STRONG_FS","a-just.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"cipher_order-tls1_2","a-just.beta.gouv.fr/80.247.13.145","443","OK","server","",""
"cipherorder_TLSv1_2","a-just.beta.gouv.fr/80.247.13.145","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","a-just.beta.gouv.fr/80.247.13.145","443","OK","server","",""
"FS","a-just.beta.gouv.fr/80.247.13.145","443","OK","offered","",""
"FS_ciphers","a-just.beta.gouv.fr/80.247.13.145","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","a-just.beta.gouv.fr/80.247.13.145","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","a-just.beta.gouv.fr/80.247.13.145","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","a-just.beta.gouv.fr/80.247.13.145","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","a-just.beta.gouv.fr/80.247.13.145","443","INFO","yes","",""
"sessionresumption_ticket","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"sessionresumption_ID","a-just.beta.gouv.fr/80.247.13.145","443","INFO","not supported","",""
"TLS_timestamp","a-just.beta.gouv.fr/80.247.13.145","443","INFO","random","",""
"certificate_compression","a-just.beta.gouv.fr/80.247.13.145","443","INFO","none","",""
"clientAuth","a-just.beta.gouv.fr/80.247.13.145","443","INFO","none","",""
"cert_numbers","a-just.beta.gouv.fr/80.247.13.145","443","INFO","1","",""
"cert_signatureAlgorithm","a-just.beta.gouv.fr/80.247.13.145","443","OK","SHA256 with RSA","",""
"cert_keySize","a-just.beta.gouv.fr/80.247.13.145","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","a-just.beta.gouv.fr/80.247.13.145","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","a-just.beta.gouv.fr/80.247.13.145","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","a-just.beta.gouv.fr/80.247.13.145","443","INFO","035EB5FC4F850BB944B4F3A4A1887E4B1475","",""
"cert_serialNumberLen","a-just.beta.gouv.fr/80.247.13.145","443","INFO","18","",""
"cert_fingerprintSHA1","a-just.beta.gouv.fr/80.247.13.145","443","INFO","7B51FAE7E6627CA18DF93CA0F7724924C7B2E08F","",""
"cert_fingerprintSHA256","a-just.beta.gouv.fr/80.247.13.145","443","INFO","2BEF59AEAFB1F6DC9085DAA02E626C277F7F9D27CF6FCAF3D0461BEBAF9D3363","",""
