"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","HTTP","",""
"pre_128cipher","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not offered","",""
"SSLv3","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not offered","",""
"TLS1","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not offered","",""
"TLS1_1","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not offered","",""
"TLS1_2","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","offered","",""
"TLS1_3","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","offered with final","",""
"ALPN_HTTP2","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","h2","",""
"ALPN","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","http/1.1","",""
"cipherlist_NULL","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","offered","",""
"cipher_order-tls1_2","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","NOT a cipher order configured","",""
"FS","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","offered","",""
"FS_ciphers","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","prime256v1","",""
"TLS_extensions","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","yes","",""
"sessionresumption_ticket","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not supported","",""
"sessionresumption_ID","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","supported","",""
"TLS_timestamp","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","random","",""
"certificate_compression","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","none","",""
"clientAuth","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","none","",""
"cert_numbers","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","1","",""
"cert_signatureAlgorithm","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","ECDSA with SHA384","",""
"cert_keySize","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","Digital Signature","",""
"cert_extKeyUsage","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","04D0FC0DDED51A0E29D3B3F59B65344567CE","",""
"cert_serialNumberLen","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","18","",""
"cert_fingerprintSHA1","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","169436C8627D37648C1AC853DA389F04FF2AA556","",""
"cert_fingerprintSHA256","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","034F49DF7D0DF96ECFC868BABD3A4B46180056D4AF41103D3AE27AAD7CBB4C94","",""
"cert","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEHDCCA6GgAwIBAgISBND8Dd7VGg4p07P1m2U0RWfOMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNjAeFw0yNDA3MjMwNTMwMzdaFw0yNDEwMjEwNTMwMzZaMCcxJTAjBgNVBAMTHGFwaS1iYWwuYWRyZXNzZS5kYXRhLmdvdXYuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAATIUJYNE+qKKYKl5MNOyC+GP4ypB6dBbwkBldJfeyZFhIk4KDeYkL71fYlWXBk7cyUCgXgSWuoOiKN781T5rthbo4ICoDCCApwwDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTSQdxwLPsG/6r8AFkF5rpJIIw5iDAfBgNVHSMEGDAWgBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9lNi5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL2U2LmkubGVuY3Iub3JnLzCBpwYDVR0RBIGfMIGcghxhcGktYmFsLmFkcmVzc2UuZGF0YS5nb3V2LmZyghxiYWNrZW5kLmFkcmVzc2UuZGF0YS5nb3V2LmZygh5iYWwtYWRtaW4uYWRyZXNzZS5kYXRhLmdvdXYuZnKCGW1lcy1hZHJlc3Nlcy5kYXRhLmdvdXYuZnKCI3BsYXRlZm9ybWUtYmFsLmFkcmVzc2UuZGF0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHYAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGQ3kjlnQAABAMARzBFAiAM63uuvy7dh1VCjUiB6ANf6pWucdL0ArlysxHF24BhJQIhAIXp3kKNtkD8WMZWc7+MP45tiJMTNgq+GdLfHR+xclYFAHcASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGQ3kjlngAABAMASDBGAiEAv49w0lTuE8FaEFHdUIkqxGCzSnj/27ap/tyU66uOez4CIQDMA6ZFd/V9vqnBO7T6wscSqeDcGcxRmF4EpezVpdlO8zAKBggqhkjOPQQDAwNpADBmAjEAy90jIqc4neNqWxNGe72inIxBL3NFRF47xFc+Qjo6Uae2a2WEDriWQepFjwttYHAcAjEAjzoj+J8kjBLU9QoNPnQDhNb6Fxff6EkFcBxhAOrQ/PvRJv0l6EsKUg/59AZtAruu\n-----END CERTIFICATE-----","",""
"cert_commonName","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","api-bal.adresse.data.gouv.fr","",""
"cert_commonName_wo_SNI","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","api-bal.adresse.data.gouv.fr","",""
"cert_subjectAltName","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","api-bal.adresse.data.gouv.fr backend.adresse.data.gouv.fr bal-admin.adresse.data.gouv.fr mes-adresses.data.gouv.fr plateforme-bal.adresse.data.gouv.fr","",""
"cert_trust","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","passed.","",""
"cert_certificatePolicies_EV","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","no","",""
"cert_expirationStatus","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","42 >= 30 days","",""
"cert_notBefore","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","2024-07-23 05:30","",""
"cert_notAfter","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","2024-10-21 05:30","",""
"cert_extlifeSpan","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","not present","",""
"cert_crlDistributionPoints","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","--","",""
"cert_ocspURL","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","http://e6.o.lencr.org","",""
"OCSP_stapling","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","offered","",""
"cert_ocspRevoked","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","not revoked","",""
"cert_mustStapleExtension","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","--","",""
"DNS_CAArecord","mes-adresses.data.gouv.fr/162.19.30.139","443","LOW","--","",""
"certificate_transparency","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","yes (certificate extension)","",""
"certs_countServer","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","2","",""
"certs_list_ordering_problem","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","no","",""
"cert_caIssuers","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","E6 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRALBXPpFzlydw27SHyzpFKzgwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTYwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAATZ8Z5Gh/ghcWCoJuuj+rnq2h25EqfUJtlRFLFhfHWWvyILOR/VvtEKRqotPEoJhC6+QJVV6RlAN2Z17TJOdwRJ+HB7wxjnzvdxEP6sdNgA1O1tHHMWMxCcOrLqbGL0vbijgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAfYt7SiA1sgWGCIpunk46r4AExIRcMxkKgUhNlrrv1B21hOaXN/5miE+LOTbrcmU/M9yvC6MVY730GNFoL8IhJ8j8vrOLpMY22OP6baS1k9YMrtDTlwJHoGby04ThTUeBDksS9RiuHvicZqBedQdIF65pZuhpeDcGBcLiYasQr/EO5gxxtLyTmgsHSOVSBcFOn9lgv7LECPq9i7mfH3mpxgrRKSxHpOoZ0KXMcB+hHuvlklHntvcI0mMMQ0mhYj6qtMFStkF1RpCG3IPdIwpVCQqu8GV7s8ubknRzs+3C/Bm19RFOoiPpDkwvyNfvmQ14XkyqqKK5oZ8zhD32kFRQkxa8uZSuh4aTImFxknu39waBxIRXE4jKxlAmQc4QjFZoq1KmQqQg0J/1JF8RlFvJas1VcjLvYlvUB2t6npO6oQjB3l+PNf0DpQH7iUx3Wz5AjQCi6L25FjyE06q6BZ/QlmtYdl/8ZYao4SRqPEs/6cAiF+Qf5zg2UkaWtDphl1LKMuTNLotvsX99HP69V2faNyegodQ0LyTApr/vT01YPE46vNsDLgK+4cL6TrzC/a4WcmF5SRJ938zrv/duJHLXQIku5v0+EwOy59Hdm0PT/Er/84dDV0CSjdR/2XuZM3kpysSKLgD1cKiDA+IRguODCxfO9cyYIg46v9mFmBvyH04=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","76E9E288AAFC0E37F4390CBF946AAD997D5C1C901B3CE513D3D8FADBABE2AB85","",""
"intermediate_cert_notBefore <#1>","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","mes-adresses.data.gouv.fr/162.19.30.139","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","mes-adresses.data.gouv.fr/162.19.30.139","443","INFO","E6 <-- ISRG Root X1","",""
